label;Anatomy;region_name;hemisphere;case_id;node_set_id;local_label;node_id;seg_label;x;y;z;graph_seed;node_count;node_hash;degree_export_k20;strength_export_k20;KMeans_k20_c16_s0_Clustering;degree_export_k40;strength_export_k40;KMeans_k40_c16_s0_Clustering
62;left_module_1;UPENN-GBM-00013_11 node 61;left;UPENN-GBM-00013_11;UPENN-GBM-00013_11__n21760_s0;62;61;2;119;186;107;0;21760;ca408ea2661298e28e13bb5ef2736db1f5c4f37911e7b274e210cbd8530a6098;5;3.1455051;1;7;4.8389504;1
63;left_module_1;UPENN-GBM-00013_11 node 62;left;UPENN-GBM-00013_11;UPENN-GBM-00013_11__n21760_s0;63;62;2;119;186;108;0;21760;ca408ea2661298e28e13bb5ef2736db1f5c4f37911e7b274e210cbd8530a6098;6;4.0909065;1;7;5.8240682;1
64;left_module_6;UPENN-GBM-00013_11 node 63;left;UPENN-GBM-00013_11;UPENN-GBM-00013_11__n21760_s0;64;63;2;119;186;109;0;21760;ca408ea2661298e28e13bb5ef2736db1f5c4f37911e7b274e210cbd8530a6098;5;4.7927435;6;5;5.6132948;6
65;left_module_13;UPENN-GBM-00013_11 node 64;left;UPENN-GBM-00013_11;UPENN-GBM-00013_11__n21760_s0;65;64;2;119;186;110;0;21760;ca408ea2661298e28e13bb5ef2736db1f5c4f37911e7b274e210cbd8530a6098;8;9.1662208;13;8;10.285657;13
66;left_module_13;UPENN-GBM-00013_11 node 65;left;UPENN-GBM-00013_11;UPENN-GBM-00013_11__n21760_s0;66;65;2;119;186;111;0;21760;ca408ea2661298e28e13bb5ef2736db1f5c4f37911e7b274e210cbd8530a6098;12;15.121042;13;10;14.393027;13
67;left_module_13;UPENN-GBM-00013_11 node 66;left;UPENN-GBM-00013_11;UPENN-GBM-00013_11__n21760_s0;67;66;2;119;186;112;0;21760;ca408ea2661298e28e13bb5ef2736db1f5c4f37911e7b274e210cbd8530a6098;9;11.49569;13;7;10.532679;13
68;left_module_13;UPENN-GBM-00013_11 node 67;left;UPENN-GBM-00013_11;UPENN-GBM-00013_11__n21760_s0;68;67;2;119;186;113;0;21760;ca408ea2661298e28e13bb5ef2736db1f5c4f37911e7b274e210cbd8530a6098;10;13.611975;13;10;18.984462;13
69;left_module_1;UPENN-GBM-00013_11 node 68;left;UPENN-GBM-00013_11;UPENN-GBM-00013_11__n21760_s0;69;68;2;119;187;106;0;21760;ca408ea2661298e28e13bb5ef2736db1f5c4f37911e7b274e210cbd8530a6098;8;4.1704562;1;7;4.3058859;1
70;left_module_1;UPENN-GBM-00013_11 node 69;left;UPENN-GBM-00013_11;UPENN-GBM-00013_11__n21760_s0;70;69;2;119;187;107;0;21760;ca408ea2661298e28e13bb5ef2736db1f5c4f37911e7b274e210cbd8530a6098;8;5.2926912;1;9;6.1323048;1
71;left_module_6;UPENN-GBM-00013_11 node 70;left;UPENN-GBM-00013_11;UPENN-GBM-00013_11__n21760_s0;71;70;2;119;187;108;0;21760;ca408ea2661298e28e13bb5ef2736db1f5c4f37911e7b274e210cbd8530a6098;8;6.45009;6;10;8.5342823;6
72;left_module_6;UPENN-GBM-00013_11 node 71;left;UPENN-GBM-00013_11;UPENN-GBM-00013_11__n21760_s0;72;71;2;119;187;109;0;21760;ca408ea2661298e28e13bb5ef2736db1f5c4f37911e7b274e210cbd8530a6098;9;6.9340236;6;10;9.3483436;6
73;left_module_13;UPENN-GBM-00013_11 node 72;left;UPENN-GBM-00013_11;UPENN-GBM-00013_11__n21760_s0;73;72;2;119;187;110;0;21760;ca408ea2661298e28e13bb5ef2736db1f5c4f37911e7b274e210cbd8530a6098;10;11.151374;13;9;12.564624;13
