label;region_name;Score_Max;hemisphere
617;PSMB7_H;50;right
618;PSMA4_I;50;right
619;PSMA3_J;50;right
620;PSMA6_K;50;right
621;PSMA5_L;50;right
622;PSMA2_M;50;right
623;PSMA8_A;51;right
624;PSMB4_B;51;right
625;PSMB5_C;51;right
626;PSMB2_D;51;right
627;PSMB1_E;51;right
628;PSMA7_F;51;right
629;PSMB6_G;51;right
630;PSMB7_H;51;right
631;PSMA4_I;51;right
632;PSMA3_J;51;right
633;PSMA6_K;51;right
634;PSMA5_L;51;right
635;PSMA2_M;51;right
636;PSMA8_A;52;right
637;PSMB4_B;52;right
638;PSMB5_C;52;right
639;PSMB2_D;52;right
640;PSMB1_E;52;right
641;PSMA7_F;52;right
642;PSMB6_G;52;right
643;PSMB7_H;52;right
644;PSMA4_I;52;right
645;PSMA3_J;52;right
646;PSMA6_K;52;right
647;PSMA5_L;52;right
648;PSMA2_M;52;right
649;PSMA8_A;53;right
650;PSMB4_B;53;right
651;PSMB5_C;53;right
652;PSMB2_D;53;right
653;PSMB1_E;53;right
654;PSMA7_F;53;right
655;PSMB6_G;53;right
656;PSMB7_H;53;right
657;PSMA4_I;53;right
658;PSMA3_J;53;right
659;PSMA6_K;53;right
660;PSMA5_L;53;right
661;PSMA2_M;53;right
662;PSMA8_A;54;right
663;PSMB4_B;54;right
664;PSMB5_C;54;right
665;PSMB2_D;54;right
666;PSMB1_E;54;right
667;PSMA7_F;54;right
668;PSMB6_G;54;right
669;PSMB7_H;54;right
670;PSMA4_I;54;right
671;PSMA3_J;54;right
672;PSMA6_K;54;right
673;PSMA5_L;54;right
674;PSMA2_M;54;right
675;PSMA8_A;55;right
676;PSMB4_B;55;right
677;PSMB5_C;55;right
678;PSMB2_D;55;right
679;PSMB1_E;55;right
680;PSMA7_F;55;right
681;PSMB6_G;55;right
682;PSMB7_H;55;right
683;PSMA4_I;55;right
684;PSMA3_J;55;right
685;PSMA6_K;55;right
686;PSMA5_L;55;right
687;PSMA2_M;55;right
688;PSMA8_A;56;right
689;PSMB4_B;56;right
690;PSMB5_C;56;right
691;PSMB2_D;56;right
692;PSMB1_E;56;right
693;PSMA7_F;56;right
694;PSMB6_G;56;right
695;PSMB7_H;56;right
696;PSMA4_I;56;right
697;PSMA3_J;56;right
698;PSMA6_K;56;right
699;PSMA5_L;56;right
700;PSMA2_M;56;right
701;PSMA8_A;57;right
702;PSMB4_B;57;right
703;PSMB5_C;57;right
704;PSMB2_D;57;right
705;PSMB1_E;57;right
706;PSMA7_F;57;right
707;PSMB6_G;57;right
708;PSMB7_H;57;right
709;PSMA4_I;57;right
710;PSMA3_J;57;right
711;PSMA6_K;57;right
712;PSMA5_L;57;right
713;PSMA2_M;57;right
714;PSMA8_A;58;right
715;PSMB4_B;58;right
716;PSMB5_C;58;right
717;PSMB2_D;58;right
718;PSMB1_E;58;right
719;PSMA7_F;58;right
720;PSMB6_G;58;right
721;PSMB7_H;58;right
722;PSMA4_I;58;right
723;PSMA3_J;58;right
724;PSMA6_K;58;right
725;PSMA5_L;58;right
726;PSMA2_M;58;right
727;PSMA8_A;59;right
728;PSMB4_B;59;right
729;PSMB5_C;59;right
730;PSMB2_D;59;right
731;PSMB1_E;59;right
732;PSMA7_F;59;right
733;PSMB6_G;59;right
734;PSMB7_H;59;right
735;PSMA4_I;59;right
736;PSMA3_J;59;right
737;PSMA6_K;59;right
738;PSMA5_L;59;right
739;PSMA2_M;59;right
740;PSMA8_A;60;right
741;PSMB4_B;60;right
742;PSMB5_C;60;right
743;PSMB2_D;60;right
744;PSMB1_E;60;right
745;PSMA7_F;60;right
746;PSMB6_G;60;right
747;PSMB7_H;60;right
748;PSMA4_I;60;right
749;PSMA3_J;60;right
750;PSMA6_K;60;right
751;PSMA5_L;60;right
752;PSMA2_M;60;right
753;PSMA8_A;61;right
754;PSMB4_B;61;right
755;PSMB5_C;61;right
756;PSMB2_D;61;right
757;PSMB1_E;61;right
758;PSMA7_F;61;right
759;PSMB6_G;61;right
760;PSMB7_H;61;right
761;PSMA4_I;61;right
762;PSMA3_J;61;right
763;PSMA6_K;61;right
764;PSMA5_L;61;right
765;PSMA2_M;61;right
766;PSMA8_A;62;right
767;PSMB4_B;62;right
768;PSMB5_C;62;right
769;PSMB2_D;62;right
770;PSMB1_E;62;right
771;PSMA7_F;62;right
772;PSMB6_G;62;right
773;PSMB7_H;62;right
774;PSMA4_I;62;right
775;PSMA3_J;62;right
776;PSMA6_K;62;right
777;PSMA5_L;62;right
778;PSMA2_M;62;right
779;PSMA8_A;63;right
780;PSMB4_B;63;right
781;PSMB5_C;63;right
782;PSMB2_D;63;right
783;PSMB1_E;63;right
784;PSMA7_F;63;right
785;PSMB6_G;63;right
786;PSMB7_H;63;right
787;PSMA4_I;63;right
788;PSMA3_J;63;right
789;PSMA6_K;63;right
790;PSMA5_L;63;right
791;PSMA2_M;63;right
792;PSMA8_A;64;right
793;PSMB4_B;64;right
794;PSMB5_C;64;right
795;PSMB2_D;64;right
796;PSMB1_E;64;right
797;PSMA7_F;64;right
798;PSMB6_G;64;right
799;PSMB7_H;64;right
800;PSMA4_I;64;right
801;PSMA3_J;64;right
802;PSMA6_K;64;right
803;PSMA5_L;64;right
804;PSMA2_M;64;right
805;PSMA8_A;65;right
806;PSMB4_B;65;right
807;PSMB5_C;65;right
808;PSMB2_D;65;right
809;PSMB1_E;65;right
810;PSMA7_F;65;right
811;PSMB6_G;65;right
812;PSMB7_H;65;right
813;PSMA4_I;65;right
814;PSMA3_J;65;right
815;PSMA6_K;65;right
816;PSMA5_L;65;right
817;PSMA2_M;65;right
818;PSMA8_A;66;right
819;PSMB4_B;66;right
820;PSMB5_C;66;right
821;PSMB2_D;66;right
822;PSMB1_E;66;right
823;PSMA7_F;66;right
824;PSMB6_G;66;right
825;PSMB7_H;66;right
826;PSMA4_I;66;right
827;PSMA3_J;66;right
828;PSMA6_K;66;right
829;PSMA5_L;66;right
830;PSMA2_M;66;right
831;PSMA8_A;67;right
832;PSMB4_B;67;right
833;PSMB5_C;67;right
834;PSMB2_D;67;right
835;PSMB1_E;67;right
836;PSMA7_F;67;right
837;PSMB6_G;67;right
838;PSMB7_H;67;right
839;PSMA4_I;67;right
840;PSMA3_J;67;right
841;PSMA6_K;67;right
842;PSMA5_L;67;right
843;PSMA2_M;67;right
844;PSMA8_A;68;right
845;PSMB4_B;68;right
846;PSMB5_C;68;right
847;PSMB2_D;68;right
848;PSMB1_E;68;right
849;PSMA7_F;68;right
850;PSMB6_G;68;right
851;PSMB7_H;68;right
852;PSMA4_I;68;right
853;PSMA3_J;68;right
854;PSMA6_K;68;right
855;PSMA5_L;68;right
856;PSMA2_M;68;right
857;PSMA8_A;69;right
858;PSMB4_B;69;right
859;PSMB5_C;69;right
860;PSMB2_D;69;right
861;PSMB1_E;69;right
862;PSMA7_F;69;right
863;PSMB6_G;69;right
864;PSMB7_H;69;right
865;PSMA4_I;69;right
866;PSMA3_J;69;right
867;PSMA6_K;69;right
868;PSMA5_L;69;right
869;PSMA2_M;69;right
870;PSMA8_A;70;right
871;PSMB4_B;70;right
872;PSMB5_C;70;right
873;PSMB2_D;70;right
874;PSMB1_E;70;right
875;PSMA7_F;70;right
876;PSMB6_G;70;right
877;PSMB7_H;70;right
878;PSMA4_I;70;right
879;PSMA3_J;70;right
880;PSMA6_K;70;right
881;PSMA5_L;70;right
882;PSMA2_M;70;right
883;PSMA8_A;71;right
884;PSMB4_B;71;right
885;PSMB5_C;71;right
886;PSMB2_D;71;right
887;PSMB1_E;71;right
888;PSMA7_F;71;right
889;PSMB6_G;71;right
890;PSMB7_H;71;right
891;PSMA4_I;71;right
892;PSMA3_J;71;right
893;PSMA6_K;71;right
894;PSMA5_L;71;right
895;PSMA2_M;71;right
896;PSMA8_A;72;right
897;PSMB4_B;72;right
898;PSMB5_C;72;right
899;PSMB2_D;72;right
900;PSMB1_E;72;right
901;PSMA7_F;72;right
902;PSMB6_G;72;right
903;PSMB7_H;72;right
904;PSMA4_I;72;right
905;PSMA3_J;72;right
906;PSMA6_K;72;right
907;PSMA5_L;72;right
908;PSMA2_M;72;right
909;PSMA8_A;73;right
910;PSMB4_B;73;right
911;PSMB5_C;73;right
912;PSMB2_D;73;right
913;PSMB1_E;73;right
914;PSMA7_F;73;right
915;PSMB6_G;73;right
916;PSMB7_H;73;right
917;PSMA4_I;73;right
918;PSMA3_J;73;right
919;PSMA6_K;73;right
920;PSMA5_L;73;right
921;PSMA2_M;73;right
922;PSMA8_A;74;right
923;PSMB4_B;74;right
924;PSMB5_C;74;right
925;PSMB2_D;74;right
926;PSMB1_E;74;right
927;PSMA7_F;74;right
928;PSMB6_G;74;right
929;PSMB7_H;74;right
930;PSMA4_I;74;right
931;PSMA3_J;74;right
932;PSMA6_K;74;right
933;PSMA5_L;74;right
934;PSMA2_M;74;right
935;PSMA8_A;75;right
936;PSMB4_B;75;right
937;PSMB5_C;75;right
938;PSMB2_D;75;right
939;PSMB1_E;75;right
940;PSMA7_F;75;right
941;PSMB6_G;75;right
942;PSMB7_H;75;right
943;PSMA4_I;75;right
944;PSMA3_J;75;right
945;PSMA6_K;75;right
946;PSMA5_L;75;right
947;PSMA2_M;75;right
948;PSMA8_A;76;right
949;PSMB4_B;76;right
950;PSMB5_C;76;right
951;PSMB2_D;76;right
952;PSMB1_E;76;right
953;PSMA7_F;76;right
954;PSMB6_G;76;right
955;PSMB7_H;76;right
956;PSMA4_I;76;right
957;PSMA3_J;76;right
958;PSMA6_K;76;right
959;PSMA5_L;76;right
960;PSMA2_M;76;right
961;PSMA8_A;77;right
962;PSMB4_B;77;right
963;PSMB5_C;77;right
964;PSMB2_D;77;right
965;PSMB1_E;77;right
966;PSMA7_F;77;right
967;PSMB6_G;77;right
968;PSMB7_H;77;right
969;PSMA4_I;77;right
970;PSMA3_J;77;right
