label,Iso_map,,,RandomTrees,,,Spec-tral,,,t_SNE,,,IsomapClustering,Random_TreesClustering,SpectralClustering,t-SNEClustering,LouvainClustering
90,-8.44311,4.17281,0.07187,13.47627,-3.15352,2.077,-0.00455,0.0036,-705,64.66746,-4.89636,-1.32052,2,2,1,2,1
91,-8.44311,4.17281,0.07187,13.47627,-3.15352,2.077,-0.00455,0.0036,-705,27.63314,-6.82049,2.48062,2,2,1,2,2
92,14.39368,-4.63514,-2.17366,0.48917,5.75957,5.33628,0.00616,-0.00263,-0.00067,-27.5981,-71.58507,27.74052,1,1,1,1,1
93,11.06854,-1.39539,-3.80993,0.92725,5.54391,3.53615,0.00432,-0.00229,-0.00382,1.08563,12.74787,-44.65481,1,1,1,2,3
94,13.12165,-4.76,-1.52179,0.8013,5.97731,4.75791,0.00578,-0.00263,-0.00146,17.59136,12.85623,-54.0502,1,1,1,2,1
95,12.75283,-3.62982,-3.21892,0.86509,5.73593,3.88137,0.00504,-0.00223,-0.0042,-52.92292,-35.5734,-3.37199,1,1,1,2,1
96,12.29547,-4.22775,-1.3974,0.77165,5.31779,3.97239,0.00524,-0.00254,-0.00253,29.91502,42.77735,7.43876,1,1,1,2,2
97,15.88227,-8.1094,1.80087,0.42232,5.58776,4.95129,0.00627,-0.00339,0.00143,31.87926,15.56549,-67.96399,1,1,1,2,4
98,4.07881,-1.99818,-3.63051,2.27216,5.21879,1.02977,0.00225,-0.00186,-0.00723,-34.53255,-7.29636,-22.75889,1,1,1,2,4
99,-8.44311,4.17281,0.07187,13.47627,-3.15352,2.077,-0.00455,0.0036,-705,60.48933,2.14611,16.20665,2,2,1,2,4
100,15.35979,-8.88458,0.96749,0.40414,5.20755,4.20094,0.00623,-0.00426,0.00267,42.2411,16.91816,-54.86135,1,1,1,2,3
101,6.64642,-2.53298,-4.78561,1.79239,5.73728,1.52554,0.00308,-0.00309,-0.00599,-35.75469,-16.41987,-8.2181,1,1,1,2,2
102,11.91543,-6.21908,-1.25342,1.01432,6.62316,3.20708,0.00496,-0.00442,-0.00171,24.89559,26.14876,-39.66266,1,1,1,2,2
103,1.59738,0.81147,-6.29594,3.35903,4.42792,-0.02051,0.00113,-0.001,-0.00946,-21.14935,-11.44471,-13.88738,1,1,1,2,4
104,-8.44311,4.17281,0.07187,13.47627,-3.15352,2.077,-0.00455,0.0036,-705,-54.1807,4.22944,-2.91939,2,2,1,2,1
105,-0.76074,-2.2801,-5.85756,3.52134,4.88011,-0.27034,0.00063,-0.00176,-0.00678,-29.01914,3.09492,-8.98597,1,1,1,2,3
106,-0.78105,1.81884,-2.09856,4.69411,3.5281,-0.37183,-0.00039,-0.00019,-0.00768,-28.99179,39.59629,56.60738,1,1,1,2,2
107,-8.44311,4.17281,0.07187,13.47627,-3.15352,2.077,-0.00455,0.0036,-705,-5.86983,24.63302,27.11358,2,2,1,2,3
108,5.97915,-3.49402,-6.17848,1.58727,5.23823,1.02271,0.00275,-0.00289,-0.00704,-7.28505,-2.01427,-21.30691,1,1,1,2,1
