label,MRI,,,UPENNModuleClustering
129059,69,147,110,13
129060,69,147,111,13
129061,69,147,113,13
129062,69,148,95,13
129063,69,148,96,13
129064,69,148,99,4
129065,69,148,101,4
129066,69,148,102,4
129067,69,148,104,4
129068,69,148,105,4
129069,69,148,107,13
129070,69,148,110,13
129071,69,148,112,13
129072,69,148,115,13
129073,69,149,99,13
129074,69,149,101,4
129075,69,149,103,4
129076,69,149,110,13
129077,69,149,112,13
129078,69,149,113,13
129079,69,149,115,13
129080,69,150,100,13
129081,69,150,102,4
129082,69,150,105,4
129083,69,150,106,4
129084,69,150,108,4
129085,69,150,110,13
129086,69,150,111,13
129087,69,150,113,13
129088,69,150,114,13
129089,69,150,115,13
129090,69,151,106,4
129091,69,151,107,4
129092,69,151,108,4
129093,69,151,109,4
129094,69,151,110,4
129095,69,151,114,13
129096,69,152,104,13
129097,69,152,105,13
129098,69,152,109,4
129099,69,152,111,13
129100,69,153,105,13
129101,69,153,106,13
129102,69,153,107,13
129103,69,153,108,13
129104,69,153,111,13
129105,69,153,112,13
129106,69,153,113,13
129107,69,154,106,13
129108,69,154,107,13
129109,69,154,108,13
129110,69,154,109,13
129111,69,162,88,13
129112,69,163,89,13
129113,69,164,86,4
129114,69,164,87,13
129115,69,165,85,4
129116,69,166,82,13
129117,69,166,83,13
129118,69,167,83,13
129119,69,167,88,4
129120,69,168,82,13
129121,69,168,83,4
129122,69,168,85,4
129123,69,168,86,4
129124,69,168,87,4
129125,69,168,89,4
129126,69,168,90,13
129127,69,168,91,13
129128,69,168,92,13
129129,69,169,83,4
129130,69,169,87,4
129131,69,169,88,4
129132,69,169,89,4
129133,69,169,90,4
129134,69,169,93,13
129135,69,169,94,13
129136,69,169,95,13
129137,69,169,98,13
129138,69,169,99,13
129139,69,170,84,13
129140,69,170,86,4
129141,69,170,89,4
129142,69,170,91,4
129143,69,170,92,4
129144,69,170,93,4
129145,69,170,98,13
129146,69,170,99,13
129147,69,171,89,13
129148,69,171,91,7
129149,69,171,92,7
129150,69,171,93,7
129151,69,171,94,13
129152,69,171,95,13
129153,69,172,92,13
129154,69,177,75,13
129155,69,177,77,13
129156,69,177,78,13
129157,69,177,79,13
129158,69,177,80,13
129159,69,178,76,13
129160,69,178,78,13
129161,69,179,76,13
129162,69,179,79,13
129163,69,179,83,13
129164,69,180,79,13
129165,69,180,81,4
129166,69,180,82,4
129167,69,180,86,13
129168,69,180,91,13
129169,69,180,92,13
129170,69,181,83,4
129171,69,181,85,13
129172,69,181,86,13
129173,69,181,87,13
129174,69,181,88,13
129175,69,181,89,13
129176,69,181,90,13
129177,69,181,92,13
129178,69,181,93,13
129179,69,181,94,13
129180,69,182,82,4
129181,69,182,83,4
129182,69,182,84,4
129183,69,182,85,4
129184,69,182,88,4
129185,69,182,90,13
129186,69,182,92,13
129187,69,182,93,13
129188,69,182,94,13
129189,69,183,83,4
129190,69,183,84,4
129191,69,183,88,4
129192,69,183,90,13
129193,69,183,91,13
129194,69,183,92,13
129195,69,184,86,13
129196,69,184,87,13
129197,69,184,91,13
129198,69,185,83,13
129199,69,185,84,13
129200,69,185,85,13
129201,69,185,88,13
129202,69,186,83,13
129203,70,101,34,14
129204,70,101,35,14
129205,70,102,34,14
129206,70,102,36,14
129207,70,102,37,14
129208,70,103,33,14
129209,70,103,34,11
129210,70,103,35,14
129211,70,104,34,14
129212,70,105,30,11
129213,70,105,31,11
129214,70,105,32,11
129215,70,105,33,11
129216,70,105,34,14
129217,70,105,36,14
129218,70,105,37,14
129219,70,105,39,14
129220,70,105,40,14
129221,70,106,30,11
129222,70,106,32,11
129223,70,106,34,14
129224,70,106,36,14
129225,70,106,39,14
129226,70,106,40,14
129227,70,107,31,11
129228,70,107,32,11
129229,70,107,37,14
129230,70,108,30,11
129231,70,108,31,11
129232,70,108,32,11
129233,70,108,34,14
129234,70,108,38,14
129235,70,108,39,14
129236,70,108,40,14
129237,70,108,41,14
129238,70,109,28,11
129239,70,109,29,14
129240,70,109,32,11
129241,70,109,35,14
129242,70,109,36,14
129243,70,109,37,14
129244,70,109,38,14
129245,70,109,39,14
129246,70,109,41,14
129247,70,110,29,14
129248,70,110,30,11
129249,70,110,32,11
129250,70,110,34,14
129251,70,110,35,14
129252,70,110,39,11
129253,70,111,28,11
129254,70,111,29,11
129255,70,111,35,11
129256,70,111,39,14
129257,70,111,40,11
129258,70,112,28,11
129259,70,112,29,11
129260,70,112,30,11
129261,70,112,39,14
129262,70,113,30,11
129263,70,113,32,14
129264,70,113,35,14
