Label,X,Y,Z
1239,175,92,34
1240,117,94,34
1241,154,95,34
1242,161,95,34
1243,111,97,34
1244,111,98,34
1245,86,100,34
1246,81,101,34
1247,160,101,34
1248,171,101,34
1249,97,102,34
1250,131,102,34
1251,85,103,34
1252,171,104,34
1253,150,106,34
1254,100,108,34
1255,145,108,34
1256,183,109,34
1257,121,111,34
1258,118,112,34
1259,165,113,34
1260,141,114,34
1261,107,115,34
1262,134,116,34
1263,98,117,34
1264,170,117,34
1265,115,119,34
1266,84,121,34
1267,115,122,34
1268,185,122,34
1269,152,124,34
1270,92,126,34
1271,137,126,34
1272,97,127,34
1273,98,127,34
1274,157,127,34
1275,121,129,34
1276,108,131,34
1277,92,132,34
1278,107,132,34
1279,182,133,34
1280,120,134,34
1281,86,136,34
1282,145,137,34
1283,112,138,34
1284,117,138,34
1285,173,139,34
1286,150,141,34
1287,156,141,34
1288,175,142,34
1289,140,143,34
1290,115,144,34
1291,97,145,34
1292,125,145,34
1293,119,146,34
1294,110,147,34
1295,98,149,34
1296,173,150,34
1297,140,152,34
1298,114,154,34
1299,145,154,34
1300,116,156,34
1301,165,158,34
1302,133,164,34
1303,109,60,35
1304,117,62,35
1305,123,65,35
1306,137,67,35
1307,141,69,35
1308,111,71,35
1309,125,71,35
1310,98,73,35
1311,102,74,35
1312,161,74,35
1313,104,75,35
1314,126,77,35
1315,128,78,35
1316,156,78,35
1317,113,80,35
1318,117,80,35
1319,117,82,35
1320,95,83,35
1321,167,83,35
1322,101,84,35
1323,156,85,35
1324,88,86,35
1325,124,86,35
1326,117,88,35
1327,96,89,35
1328,89,91,35
1329,133,91,35
1330,134,91,35
1331,137,92,35
1332,113,94,35
1333,160,95,35
1334,142,96,35
1335,176,97,35
1336,139,99,35
1337,90,101,35
1338,98,101,35
1339,141,102,35
1340,128,104,35
1341,79,105,35
1342,122,106,35
1343,120,107,35
1344,183,108,35
1345,105,110,35
1346,80,111,35
1347,152,112,35
1348,96,114,35
1349,96,115,35
1350,138,116,35
1351,170,117,35
1352,120,118,35
1353,140,118,35
1354,118,120,35
1355,131,120,35
1356,110,122,35
1357,185,123,35
1358,112,125,35
1359,167,125,35
1360,135,126,35
1361,86,128,35
1362,82,129,35
1363,167,130,35
1364,118,131,35
1365,98,132,35
1366,174,133,35
1367,92,135,35
1368,95,136,35
1369,139,136,35
1370,123,137,35
1371,104,139,35
1372,170,140,35
1373,175,141,35
1374,98,143,35
1375,147,144,35
1376,164,145,35
1377,157,146,35
1378,103,148,35
1379,120,150,35
1380,143,151,35
1381,96,154,35
1382,106,154,35
1383,127,155,35
1384,163,155,35
1385,129,156,35
1386,129,157,35
1387,108,158,35
1388,120,158,35
1389,154,160,35
1390,116,162,35
1391,131,167,35
1392,141,61,36
1393,142,62,36
1394,118,66,36
1395,137,66,36
1396,143,66,36
1397,141,69,36
1398,149,69,36
1399,131,70,36
1400,96,73,36
1401,106,74,36
1402,134,76,36
1403,161,76,36
1404,160,78,36
1405,122,79,36
1406,110,81,36
1407,126,83,36
1408,163,83,36
1409,117,84,36
1410,107,85,36
1411,135,85,36
1412,172,85,36
1413,168,86,36
1414,100,88,36
1415,109,90,36
1416,161,91,36
1417,133,93,36
1418,172,94,36
1419,146,95,36
1420,108,96,36
1421,86,98,36
1422,135,98,36
1423,91,99,36
1424,169,100,36
1425,128,102,36
1426,83,103,36
1427,112,103,36
1428,96,104,36
1429,145,104,36
1430,164,104,36
1431,116,105,36
